site,item,price,currency,meta,region,device,ts
agoda,/ko-kr/search,7,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": """", ""rooms"": """", ""raw_price_text"": ""-7%\n\n원래 요금: 113\n113\ntooltip\n쿠폰 적용 전 해당 객실 종류 예약 가능 요금\nUSD 105"", ""url"": ""https://www.agoda.com/ko-kr/search?City=14690&CheckIn=2025-11-12&CheckOut=2025-11-14&Rooms=1&Adults=2&HotelName=Koreana&currency=USD&cid=1844104&ds=wT51m%2FxhfZSaMjcx"", ""from"": ""dom""}",KR,pc,2025-08-18T13:30:12
agoda,/ko-kr/search,7,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": """", ""rooms"": """", ""raw_price_text"": ""-7%\n\n원래 요금: 113\n113\ntooltip\n쿠폰 적용 전 해당 객실 종류 예약 가능 요금\nUSD 105"", ""url"": ""https://www.agoda.com/ko-kr/search?City=14690&CheckIn=2025-11-12&CheckOut=2025-11-14&Rooms=1&Adults=2&HotelName=Koreana&currency=USD&cid=1844104&ds=Z5yTF96KntZjqtQP"", ""from"": ""dom""}",US,pc,2025-08-18T13:30:32
agoda,/ko-kr/search,7,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": """", ""rooms"": """", ""raw_price_text"": ""-7%\n\n원래 요금: 113\n113\ntooltip\n쿠폰 적용 전 해당 객실 종류 예약 가능 요금\nUSD 105"", ""url"": ""https://www.agoda.com/ko-kr/search?City=14690&CheckIn=2025-11-12&CheckOut=2025-11-14&Rooms=1&Adults=2&HotelName=Koreana&currency=USD&cid=1844104&ds=bq5dO5yNZqdTDzoX"", ""from"": ""dom""}",KR,pc,2025-08-18T13:36:04
agoda,/ko-kr/search,7,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": """", ""rooms"": """", ""raw_price_text"": ""-7%\n\n원래 요금: 113\n113\ntooltip\n쿠폰 적용 전 해당 객실 종류 예약 가능 요금\nUSD 105"", ""url"": ""https://www.agoda.com/ko-kr/search?City=14690&CheckIn=2025-11-12&CheckOut=2025-11-14&Rooms=1&Adults=2&HotelName=Koreana&currency=USD&cid=1844104&ds=vk8gvhwHGo%2Bkzu5T"", ""from"": ""dom""}",US,pc,2025-08-18T13:36:25
agoda,/ko-kr/search,7,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": """", ""rooms"": """", ""raw_price_text"": ""-7%\n\n원래 요금: 113\n113\ntooltip\n쿠폰 적용 전 해당 객실 종류 예약 가능 요금\nUSD 105"", ""url"": ""https://www.agoda.com/ko-kr/search?City=14690&CheckIn=2025-11-12&CheckOut=2025-11-14&Rooms=1&Adults=2&HotelName=Koreana&currency=USD&cid=1844104&ds=JQtybBzVzxF%2BLuw0"", ""from"": ""dom""}",KR,pc,2025-08-18T13:40:33
agoda,/ko-kr/search,7,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": """", ""rooms"": """", ""raw_price_text"": ""-7%\n\n원래 요금: 113\n113\ntooltip\n쿠폰 적용 전 해당 객실 종류 예약 가능 요금\nUSD 105"", ""url"": ""https://www.agoda.com/ko-kr/search?City=14690&CheckIn=2025-11-12&CheckOut=2025-11-14&Rooms=1&Adults=2&HotelName=Koreana&currency=USD&cid=1844104&ds=MBwoW70hvQB7AUkh"", ""from"": ""dom""}",US,pc,2025-08-18T13:40:42
agoda,/ko-kr/koreana-hotel/hotel/seoul-kr.html,145653,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": ""2"", ""rooms"": ""1"", ""raw_price_text"": ""시작가 ₩ 145,653\n\t\n객실 상품 보기"", ""url"": ""https://www.agoda.com/ko-kr/koreana-hotel/hotel/seoul-kr.html?countryId=212&finalPriceView=1&isShowMobileAppPrice=false&cid=1922887&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-11-12&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=USD&isFreeOccSearch=false&tspTypes=7%2C6&los=2&searchrequestid=c2b8e6fa-24e0-4b16-a154-b5a483403558&ds=dXpDmDKgUJ7LEeie"", ""from"": ""dom""}",KR,pc,2025-08-18T13:42:28
agoda,/ko-kr/koreana-hotel/hotel/seoul-kr.html,166612,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": ""2"", ""rooms"": ""1"", ""raw_price_text"": ""원래 요금: ₩ 166,612\n₩ 166,612\nfinal price: ₩ 137,764\n₩137,764"", ""url"": ""https://www.agoda.com/ko-kr/koreana-hotel/hotel/seoul-kr.html?countryId=212&finalPriceView=1&isShowMobileAppPrice=false&cid=1922887&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-11-12&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=USD&isFreeOccSearch=false&tspTypes=7%2C6&los=2&searchrequestid=c2b8e6fa-24e0-4b16-a154-b5a483403558&ds=dXpDmDKgUJ7LEeie"", ""from"": ""dom""}",KR,mobile,2025-08-18T13:42:29
agoda,/ko-kr/koreana-hotel/hotel/seoul-kr.html,145292,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": ""2"", ""rooms"": ""1"", ""raw_price_text"": ""시작가 ₩ 145,292\n\t\n객실 상품 보기"", ""url"": ""https://www.agoda.com/ko-kr/koreana-hotel/hotel/seoul-kr.html?countryId=212&finalPriceView=1&isShowMobileAppPrice=false&cid=1922887&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-11-12&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=USD&isFreeOccSearch=false&tspTypes=7%2C6&los=2&searchrequestid=c2b8e6fa-24e0-4b16-a154-b5a483403558&ds=UCOlWWq8EA%2FRh%2FVz"", ""from"": ""dom""}",US,pc,2025-08-18T13:42:50
agoda,/ko-kr/koreana-hotel/hotel/seoul-kr.html,166612,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": ""2"", ""rooms"": ""1"", ""raw_price_text"": ""원래 요금: ₩ 166,612\n₩ 166,612\nfinal price: ₩ 137,764\n₩137,764"", ""url"": ""https://www.agoda.com/ko-kr/koreana-hotel/hotel/seoul-kr.html?countryId=212&finalPriceView=1&isShowMobileAppPrice=false&cid=1922887&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-11-12&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=USD&isFreeOccSearch=false&tspTypes=7%2C6&los=2&searchrequestid=c2b8e6fa-24e0-4b16-a154-b5a483403558&ds=vRs7MviBI0cfwQDt"", ""from"": ""dom""}",US,mobile,2025-08-18T13:42:50
agoda,/ko-kr/koreana-hotel/hotel/seoul-kr.html,141538,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": ""2"", ""rooms"": ""1"", ""raw_price_text"": ""시작가 ₩ 141,538\n\t\n객실 상품 보기"", ""url"": ""https://www.agoda.com/ko-kr/koreana-hotel/hotel/seoul-kr.html?checkIn=2025-11-12&los=2&adults=2&rooms=1&currencyCode=USD&cid=1844104&ds=nU%2FXDOWLBjuzJ0s6"", ""from"": ""dom""}",KR,pc,2025-08-18T13:48:41
agoda,/ko-kr/koreana-hotel/hotel/seoul-kr.html,166611,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": ""2"", ""rooms"": ""1"", ""raw_price_text"": ""원래 요금: ₩ 166,611\n₩ 166,611\nfinal price: ₩ 133,354\n₩133,354"", ""url"": ""https://www.agoda.com/ko-kr/koreana-hotel/hotel/seoul-kr.html?checkIn=2025-11-12&los=2&adults=2&rooms=1&currencyCode=USD&cid=1844104&ds=nU%2FXDOWLBjuzJ0s6"", ""from"": ""dom""}",KR,mobile,2025-08-18T13:48:42
agoda,/ko-kr/koreana-hotel/hotel/seoul-kr.html,141538,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": ""2"", ""rooms"": ""1"", ""raw_price_text"": ""시작가 ₩ 141,538\n\t\n객실 상품 보기"", ""url"": ""https://www.agoda.com/ko-kr/koreana-hotel/hotel/seoul-kr.html?checkIn=2025-11-12&los=2&adults=2&rooms=1&currencyCode=USD&cid=1844104&ds=VYnG9vPS5ACqlhyS"", ""from"": ""dom""}",US,pc,2025-08-18T13:49:01
agoda,/ko-kr/koreana-hotel/hotel/seoul-kr.html,166612,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": ""2"", ""rooms"": ""1"", ""raw_price_text"": ""원래 요금: ₩ 166,612\n₩ 166,612\nfinal price: ₩ 137,767\n₩137,767"", ""url"": ""https://www.agoda.com/ko-kr/koreana-hotel/hotel/seoul-kr.html?checkIn=2025-11-12&los=2&adults=2&rooms=1&currencyCode=USD&cid=1844104&ds=VYnG9vPS5ACqlhyS"", ""from"": ""dom""}",US,mobile,2025-08-18T13:49:02
agoda,/ko-kr/koreana-hotel/hotel/seoul-kr.html,141538,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": ""2"", ""rooms"": ""1"", ""raw_price_text"": ""시작가 ₩ 141,538\n\t\n객실 상품 보기"", ""url"": ""https://www.agoda.com/ko-kr/koreana-hotel/hotel/seoul-kr.html?checkIn=2025-11-12&los=2&adults=2&rooms=1&currencyCode=USD&cid=1844104&ds=jqDocUJtUWM4BCgN"", ""from"": ""dom""}",KR,pc,2025-08-18T19:37:39
agoda,/ko-kr/koreana-hotel/hotel/seoul-kr.html,166611,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": ""2"", ""rooms"": ""1"", ""raw_price_text"": ""원래 요금: ₩ 166,611\n₩ 166,611\nfinal price: ₩ 133,354\n₩133,354"", ""url"": ""https://www.agoda.com/ko-kr/koreana-hotel/hotel/seoul-kr.html?checkIn=2025-11-12&los=2&adults=2&rooms=1&currencyCode=USD&cid=1844104&ds=jqDocUJtUWM4BCgN"", ""from"": ""dom""}",KR,mobile,2025-08-18T19:37:40
agoda,/ko-kr/koreana-hotel/hotel/seoul-kr.html,141538,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": ""2"", ""rooms"": ""1"", ""raw_price_text"": ""시작가 ₩ 141,538\n\t\n객실 상품 보기"", ""url"": ""https://www.agoda.com/ko-kr/koreana-hotel/hotel/seoul-kr.html?checkIn=2025-11-12&los=2&adults=2&rooms=1&currencyCode=USD&cid=1844104&ds=o5DRwo1UHuh01Z0E"", ""from"": ""dom""}",US,pc,2025-08-18T19:38:00
agoda,/ko-kr/koreana-hotel/hotel/seoul-kr.html,166611,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": ""2"", ""rooms"": ""1"", ""raw_price_text"": ""원래 요금: ₩ 166,611\n₩ 166,611\nfinal price: ₩ 133,354\n₩133,354"", ""url"": ""https://www.agoda.com/ko-kr/koreana-hotel/hotel/seoul-kr.html?checkIn=2025-11-12&los=2&adults=2&rooms=1&currencyCode=USD&cid=1844104&ds=UybtBqnK%2Bzw9dg8r"", ""from"": ""dom""}",US,mobile,2025-08-18T19:38:01
agoda,/ko-kr/koreana-hotel/hotel/seoul-kr.html,141538,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": ""2"", ""rooms"": ""1"", ""raw_price_text"": ""시작가 ₩ 141,538\n\t\n객실 상품 보기"", ""url"": ""https://www.agoda.com/ko-kr/koreana-hotel/hotel/seoul-kr.html?checkIn=2025-11-12&los=2&adults=2&rooms=1&currencyCode=USD&cid=1844104&ds=blIbkqiocOMMJ6o0"", ""from"": ""dom""}",KR,pc,2025-08-18T19:42:01
agoda,/ko-kr/koreana-hotel/hotel/seoul-kr.html,166611,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": ""2"", ""rooms"": ""1"", ""raw_price_text"": ""원래 요금: ₩ 166,611\n₩ 166,611\nfinal price: ₩ 133,354\n₩133,354"", ""url"": ""https://www.agoda.com/ko-kr/koreana-hotel/hotel/seoul-kr.html?checkIn=2025-11-12&los=2&adults=2&rooms=1&currencyCode=USD&cid=1844104&ds=blIbkqiocOMMJ6o0"", ""from"": ""dom""}",KR,mobile,2025-08-18T19:42:01
agoda,/ko-kr/koreana-hotel/hotel/seoul-kr.html,141538,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": ""2"", ""rooms"": ""1"", ""raw_price_text"": ""시작가 ₩ 141,538\n\t\n객실 상품 보기"", ""url"": ""https://www.agoda.com/ko-kr/koreana-hotel/hotel/seoul-kr.html?checkIn=2025-11-12&los=2&adults=2&rooms=1&currencyCode=USD&cid=1844104&ds=x%2BIIeX0olMgvWTVw"", ""from"": ""dom""}",US,pc,2025-08-18T19:42:21
agoda,/ko-kr/koreana-hotel/hotel/seoul-kr.html,166611,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": ""2"", ""rooms"": ""1"", ""raw_price_text"": ""원래 요금: ₩ 166,611\n₩ 166,611\nfinal price: ₩ 133,354\n₩133,354"", ""url"": ""https://www.agoda.com/ko-kr/koreana-hotel/hotel/seoul-kr.html?checkIn=2025-11-12&los=2&adults=2&rooms=1&currencyCode=USD&cid=1844104&ds=x%2BIIeX0olMgvWTVw"", ""from"": ""dom""}",US,mobile,2025-08-18T19:42:22
